"COMMUNE_CODE","COMMUNE_NOM","FEMMES_MINEURES","HOMMES_MINEURS","FEMMES_MAJEURES","HOMMES_MAJEURS","total_population","adult_share"
"1101","Beaufort",312,306,1250,1234,3102,0.800773694390716
"1102","Bech",104,134,557,575,1370,0.826277372262774
"0802","Beckerich",271,287,1178,1177,2913,0.808444902162719
"1103","Berdorf",216,244,906,927,2293,0.799389446140427
"0401","Bertrange",839,953,3899,3798,9489,0.81114975234482
"0301","Bettembourg",1091,1167,4821,4573,11652,0.806213525575009
"0702","Bettendorf",269,293,1203,1286,3051,0.81579809898394
"1201","Betzdorf",394,487,1663,1587,4131,0.786734446865166
"0502","Bissen",337,314,1462,1450,3563,0.817288801571709
"1202","Biwer",194,194,727,791,1906,0.796432318992655
"0901","Boulaide",160,174,635,610,1579,0.788473717542749
"0703","Bourscheid",163,164,687,770,1784,0.81670403587444
"1300","Bous",0,0,0,2,2,1
"1311","Bous-Waldbredimus",347,363,1300,1345,3355,0.788375558867362
"0611","Clervaux",610,685,2546,2486,6327,0.7953216374269
"0501","Colmar-Berg",235,269,1013,954,2471,0.796033994334278
"1104","Consdorf",191,241,827,834,2093,0.793597706641185
"0402","Contern",545,537,2000,1924,5006,0.783859368757491
"1302","Dalheim",204,231,951,990,2376,0.816919191919192
"0704","Diekirch",548,610,3111,3133,7402,0.843555795730884
"0302","Differdange",3220,3502,12393,12305,31420,0.786059834500318
"0203","Dippach",403,442,1973,1903,4721,0.821012497352256
"0303","Dudelange",2038,2060,9274,9005,22377,0.816865531572597
"1105","Echternach",493,549,2567,2422,6031,0.82722599900514
"0805","Ell",131,175,678,684,1668,0.816546762589928
"0706","Erpeldange-sur-Sûre",234,241,1117,1070,2662,0.821562734785875
"0304","Esch-sur-Alzette",3546,3710,15436,15577,38269,0.810394836551778
"0915","Esch-sur-Sûre",340,363,1330,1340,3373,0.791580195671509
"0707","Ettelbruck",914,912,4186,4198,10210,0.821155729676788
"0708","Feulen",234,273,965,963,2435,0.791786447638604
"0504","Fischbach",141,160,519,524,1344,0.776041666666667
"1203","Flaxweiler",244,219,880,925,2268,0.795855379188713
"0305","Frisange",496,462,2040,2042,5040,0.809920634920635
"0204","Garnich",265,263,960,933,2421,0.781908302354399
"0904","Goesdorf",164,160,662,696,1682,0.807372175980975
"1204","Grevenmacher",488,494,2210,2103,5295,0.814542020774315
"0814","Groussbus-Wal",270,253,938,933,2394,0.781537176274018
"0213","Habscht",489,515,2114,2219,5337,0.811879332958591
"0505","Heffingen",185,174,623,615,1597,0.775203506574828
"0512","Helperknapp",582,639,2052,2054,5327,0.770790313497278
"0403","Hesperange",1703,1737,7066,6754,17260,0.800695249130939
"1205","Junglinster",988,1009,3690,3457,9144,0.78160542432196
"0212","Käerjeng",988,1032,4791,4534,11345,0.821947994711327
"0306","Kayl",981,967,4116,3925,9989,0.804985484032436
"0206","Kehlen",822,812,2969,2846,7449,0.780641696872063
"0914","Kiischpelt",113,160,524,512,1309,0.79144385026738
"0207","Koerich",258,294,1093,1169,2814,0.803837953091684
"0208","Kopstal",490,499,1908,1843,4740,0.791350210970464
"0905","Lac de la Haute-Sûre",226,255,874,966,2321,0.792761740629039
"0506","Larochette",224,198,911,910,2243,0.811859117253678
"1303","Lenningen",207,181,889,837,2114,0.816461684011353
"0307","Leudelange",231,300,1133,1102,2766,0.808026030368764
"0507","Lintgen",328,310,1399,1444,3481,0.816719333524849
"0508","Lorentzweiler",464,498,1952,1846,4760,0.797899159663866
"0001","Luxembourg",9985,10269,56612,60797,137663,0.852872594669592
"0209","Mamer",1306,1363,4620,4293,11582,0.769556207908824
"1206","Manternach",235,239,942,925,2341,0.797522426313541
"0509","Mersch",1042,1098,4330,4417,10887,0.803435289795169
"1207","Mertert",515,497,2332,2341,5685,0.821987686895339
"0711","Mertzig",235,286,961,952,2434,0.78594905505341
"0308","Mondercange",609,631,3034,3038,7312,0.830415754923414
"1304","Mondorf-les-Bains",420,428,2431,2246,5525,0.846515837104072
"0404","Niederanven",683,737,2992,2746,7158,0.801620564403465
"0510","Nommern",174,131,604,607,1516,0.798812664907652
"0309","Pétange",2156,2277,8540,8317,21290,0.791780178487553
"0612","Parc Hosingen",454,520,1686,1747,4407,0.778987973678239
"0803","Préizerdaul",171,157,744,729,1801,0.81787895613548
"1002","Putscheid",126,138,462,465,1191,0.778337531486146
"0806","Rambrouch",498,515,1969,2084,5066,0.8000394788788
"0310","Reckange-sur-Mess",301,285,1214,1156,2956,0.801759133964817
"0809","Redange/Attert",268,284,1348,1250,3150,0.824761904761905
"0712","Reisdorf",155,162,557,549,1423,0.777231201686578
"1306","Remich",344,353,1765,1693,4155,0.832250300842359
"0311","Roeser",663,708,2923,2889,7183,0.80913267437004
"1109","Rosport-Mompach",363,389,1521,1522,3795,0.801844532279315
"0312","Rumelange",570,626,2299,2272,5767,0.792613143748916
"0810","Saeul",138,118,422,402,1080,0.762962962962963
"0405","Sandweiler",402,396,1572,1503,3873,0.793958171959721
"0313","Sanem",1811,1991,8019,7788,19609,0.806109439543067
"1310","Schengen",493,489,2135,2148,5265,0.813485280151947
"0713","Schieren",176,252,896,848,2172,0.802946593001842
"0314","Schifflange",1031,1187,4827,4633,11678,0.810070217502997
"0406","Schuttrange",448,467,1763,1818,4496,0.796485765124555
"1307","Stadtbredimus",181,162,831,849,2023,0.830449826989619
"0211","Steinfort",562,542,2541,2510,6155,0.820633631194151
"0407","Steinsel",600,609,2580,2396,6185,0.804527081649151
"0408","Strassen",1059,1079,4504,4189,10831,0.802603637706583
"1004","Tandel",260,260,925,929,2374,0.780960404380792
"0609","Troisvierges",386,380,1429,1513,3708,0.793419633225458
"0811","Useldange",221,243,849,868,2181,0.787253553415864
"0714","Vallée de l'Ernz",319,293,1162,1189,2963,0.793452581842727
"1003","Vianden",212,199,923,909,2243,0.816763263486402
"0812","Vichten",167,150,573,563,1453,0.781830695113558
"1108","Waldbillig",202,228,782,787,1999,0.784892446223112
"1308","Waldbredimus",0,0,2,8,10,1
"0409","Walferdange",876,963,3864,3555,9258,0.801360985093973
"0410","Weiler-la-Tour",229,275,1012,1007,2523,0.800237812128419
"0610","Weiswampach",261,237,1042,1159,2699,0.815487217487958
"0916","Wiltz",940,1084,3269,3242,8535,0.762858816637376
"0601","Wincrange",507,575,1942,2014,5038,0.785232235013894
"0913","Winseler",130,121,623,717,1591,0.842237586423633
"1209","Wormeldange",304,309,1337,1299,3249,0.811326562019083
