COMMUNE_CODE,COMMUNE_NOM,FEMMES_MINEURES,HOMMES_MINEURS,FEMMES_MAJEURES,HOMMES_MAJEURS
1101,Beaufort,312,306,1250,1234
1102,Bech,104,134,557,575
0802,Beckerich,271,287,1178,1177
1103,Berdorf,216,244,906,927
0401,Bertrange,839,953,3899,3798
0301,Bettembourg,1091,1167,4821,4573
0702,Bettendorf,269,293,1203,1286
1201,Betzdorf,394,487,1663,1587
0502,Bissen,337,314,1462,1450
1202,Biwer,194,194,727,791
0901,Boulaide,160,174,635,610
0703,Bourscheid,163,164,687,770
1300,Bous,0,0,0,2
1311,Bous-Waldbredimus,347,363,1300,1345
0611,Clervaux,610,685,2546,2486
0501,Colmar-Berg,235,269,1013,954
1104,Consdorf,191,241,827,834
0402,Contern,545,537,2000,1924
1302,Dalheim,204,231,951,990
0704,Diekirch,548,610,3111,3133
0302,Differdange,3220,3502,12393,12305
0203,Dippach,403,442,1973,1903
0303,Dudelange,2038,2060,9274,9005
1105,Echternach,493,549,2567,2422
0805,Ell,131,175,678,684
0706,Erpeldange-sur-Sûre,234,241,1117,1070
0304,Esch-sur-Alzette,3546,3710,15436,15577
0915,Esch-sur-Sûre,340,363,1330,1340
0707,Ettelbruck,914,912,4186,4198
0708,Feulen,234,273,965,963
0504,Fischbach,141,160,519,524
1203,Flaxweiler,244,219,880,925
0305,Frisange,496,462,2040,2042
0204,Garnich,265,263,960,933
0904,Goesdorf,164,160,662,696
1204,Grevenmacher,488,494,2210,2103
0814,Groussbus-Wal,270,253,938,933
0213,Habscht,489,515,2114,2219
0505,Heffingen,185,174,623,615
0512,Helperknapp,582,639,2052,2054
0403,Hesperange,1703,1737,7066,6754
1205,Junglinster,988,1009,3690,3457
0212,Käerjeng,988,1032,4791,4534
0306,Kayl,981,967,4116,3925
0206,Kehlen,822,812,2969,2846
0914,Kiischpelt,113,160,524,512
0207,Koerich,258,294,1093,1169
0208,Kopstal,490,499,1908,1843
0905,Lac de la Haute-Sûre,226,255,874,966
0506,Larochette,224,198,911,910
1303,Lenningen,207,181,889,837
0307,Leudelange,231,300,1133,1102
0507,Lintgen,328,310,1399,1444
0508,Lorentzweiler,464,498,1952,1846
0001,Luxembourg,9985,10269,56612,60797
0209,Mamer,1306,1363,4620,4293
1206,Manternach,235,239,942,925
0509,Mersch,1042,1098,4330,4417
1207,Mertert,515,497,2332,2341
0711,Mertzig,235,286,961,952
0308,Mondercange,609,631,3034,3038
1304,Mondorf-les-Bains,420,428,2431,2246
0404,Niederanven,683,737,2992,2746
0510,Nommern,174,131,604,607
0309,Pétange,2156,2277,8540,8317
0612,Parc Hosingen,454,520,1686,1747
0803,Préizerdaul,171,157,744,729
1002,Putscheid,126,138,462,465
0806,Rambrouch,498,515,1969,2084
0310,Reckange-sur-Mess,301,285,1214,1156
0809,Redange/Attert,268,284,1348,1250
0712,Reisdorf,155,162,557,549
1306,Remich,344,353,1765,1693
0311,Roeser,663,708,2923,2889
1109,Rosport-Mompach,363,389,1521,1522
0312,Rumelange,570,626,2299,2272
0810,Saeul,138,118,422,402
0405,Sandweiler,402,396,1572,1503
0313,Sanem,1811,1991,8019,7788
1310,Schengen,493,489,2135,2148
0713,Schieren,176,252,896,848
0314,Schifflange,1031,1187,4827,4633
0406,Schuttrange,448,467,1763,1818
1307,Stadtbredimus,181,162,831,849
0211,Steinfort,562,542,2541,2510
0407,Steinsel,600,609,2580,2396
0408,Strassen,1059,1079,4504,4189
1004,Tandel,260,260,925,929
0609,Troisvierges,386,380,1429,1513
0811,Useldange,221,243,849,868
0714,Vallée de l'Ernz,319,293,1162,1189
1003,Vianden,212,199,923,909
0812,Vichten,167,150,573,563
1108,Waldbillig,202,228,782,787
1308,Waldbredimus,0,0,2,8
0409,Walferdange,876,963,3864,3555
0410,Weiler-la-Tour,229,275,1012,1007
0610,Weiswampach,261,237,1042,1159
0916,Wiltz,940,1084,3269,3242
0601,Wincrange,507,575,1942,2014
0913,Winseler,130,121,623,717
1209,Wormeldange,304,309,1337,1299
